"Date","Price","Open","High","Low","Change %"
"Oct 07, 2018","9.0704","9.0674","9.0708","9.0602","0.06%"
"Oct 05, 2018","9.0650","9.0616","9.1018","9.0391","0.06%"
"Oct 04, 2018","9.0592","9.0532","9.0738","9.0260","0.07%"
"Oct 03, 2018","9.0532","9.0086","9.0662","8.9540","0.50%"
"Oct 02, 2018","9.0083","8.9457","9.0290","8.9419","0.70%"
"Oct 01, 2018","8.9457","8.8899","8.9581","8.8820","0.63%"
"Sep 30, 2018","8.8897","8.8715","8.8919","8.8711","0.01%"
"Sep 28, 2018","8.8887","8.8538","8.9148","8.8383","0.37%"
"Sep 27, 2018","8.8561","8.8105","8.8593","8.7960","0.51%"
"Sep 26, 2018","8.8108","8.8086","8.8431","8.7831","0.02%"
"Sep 25, 2018","8.8086","8.7990","8.8180","8.7599","0.11%"
"Sep 24, 2018","8.7992","8.7905","8.8181","8.7515","0.17%"
"Sep 23, 2018","8.7843","8.7929","8.7966","8.7835","-0.03%"
"Sep 21, 2018","8.7867","8.7721","8.8023","8.7542","0.15%"
"Sep 20, 2018","8.7734","8.8688","8.8861","8.7596","-1.10%"
"Sep 19, 2018","8.8713","8.9125","8.9232","8.8634","-0.42%"
"Sep 18, 2018","8.9091","8.9140","8.9280","8.8779","-0.03%"
"Sep 17, 2018","8.9115","9.0545","9.0583","8.9031","-1.53%"
"Sep 16, 2018","9.0503","9.0529","9.0544","9.0465","-0.03%"
"Sep 14, 2018","9.0527","8.9529","9.0594","8.9453","1.11%"
"Sep 13, 2018","8.9530","8.9814","8.9962","8.9270","-0.32%"
"Sep 12, 2018","8.9813","9.0408","9.0704","8.9581","-0.66%"
"Sep 11, 2018","9.0408","9.0678","9.0810","9.0086","-0.30%"
"Sep 10, 2018","9.0682","9.0566","9.0770","9.0214","0.17%"
"Sep 09, 2018","9.0529","9.0654","9.0738","9.0471","-0.06%"
"Sep 07, 2018","9.0585","9.1064","9.1225","9.0335","-0.53%"
"Sep 06, 2018","9.1068","9.0546","9.1239","9.0349","0.58%"
"Sep 05, 2018","9.0542","9.0874","9.1345","9.0510","-0.36%"
"Sep 04, 2018","9.0872","9.0942","9.1531","9.0795","-0.10%"
"Sep 03, 2018","9.0965","9.1504","9.1617","9.0884","-0.60%"
"Sep 02, 2018","9.1515","9.1528","9.1556","9.1474","0.03%"
"Aug 31, 2018","9.1489","9.1169","9.1645","9.0925","0.34%"
"Aug 30, 2018","9.1180","9.1377","9.1577","9.0950","-0.22%"
"Aug 29, 2018","9.1377","9.1388","9.1891","9.1260","-0.01%"
"Aug 28, 2018","9.1388","9.0936","9.1556","9.0825","0.50%"
"Aug 27, 2018","9.0936","9.1259","9.1576","9.0870","-0.14%"
